model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,19,7.518973665296978,0.5909901873327387,53,8968
global,global_in_41_trigger,,19,8.113853308263366,0.45718108831400533,41,8968
global,global_in_73_trigger,,19,8.060305344431024,0.44603033006244425,40,8968
global,global_in_51_trigger,,19,8.037411757817129,0.45718108831400533,41,8968
global,global_in_74_trigger,,19,7.451021830808043,0.6244424620874219,56,8968
41,41_trigger,,20,1.0194105805295797,45.33898305084746,4066,8968
73,73_trigger,,20,1.0493614105748663,38.971900089206066,3495,8968
51,51_trigger,,20,0.5123352710420165,83.85370205173952,7520,8968
74,74_trigger,,20,0.09744403727292802,95.4393398751115,8559,8968
global,combine,,20,7.61498631078361,0.45718108831400533,41,8968
global,global_in_41_trigger,,20,8.205557150249499,0.32337198929527206,29,8968
global,global_in_73_trigger,,20,8.151591024475369,0.3345227475468332,30,8968
global,global_in_51_trigger,,20,8.131669461354946,0.32337198929527206,29,8968
global,global_in_74_trigger,,20,7.554430466480919,0.44603033006244425,40,8968
41,41_trigger,,21,0.9454171454449193,54.794826048171274,4914,8968
73,73_trigger,,21,0.5554835317817572,78.34522747546832,7026,8968
51,51_trigger,,21,0.43357393084414614,85.79393398751115,7694,8968
74,74_trigger,,21,0.09208678331202848,95.7850133809099,8590,8968
global,combine,,21,7.336353834136909,0.6578947368421052,59,8968
global,global_in_41_trigger,,21,8.022224570469172,0.4348795718108831,39,8968
global,global_in_73_trigger,,21,7.965503605851948,0.45718108831400533,41,8968
global,global_in_51_trigger,,21,7.928222139002913,0.45718108831400533,41,8968
global,global_in_74_trigger,,21,7.2762097402091115,0.6801962533452275,61,8968
41,41_trigger,,22,0.9906722493303556,44.27966101694915,3971,8968
73,73_trigger,,22,0.8372535242447355,55.92105263157895,5015,8968
51,51_trigger,,22,0.5249582442133476,79.19268510258698,7102,8968
74,74_trigger,,22,0.11188103089958137,95.29438001784122,8546,8968
global,combine,,22,7.865380733806464,0.27876895628902765,25,8968
global,global_in_41_trigger,,22,8.52794990233286,0.13380909901873325,12,8968
global,global_in_73_trigger,,22,8.469279729075776,0.15611061552185548,14,8968
global,global_in_51_trigger,,22,8.438527166790243,0.14495985727029437,13,8968
global,global_in_74_trigger,,22,7.8160216780670195,0.27876895628902765,25,8968
41,41_trigger,,23,0.82990050874152,54.20383586083853,4861,8968
73,73_trigger,,23,0.7159964124822489,68.0307760927743,6101,8968
51,51_trigger,,23,0.4121558377245087,87.47769848349688,7845,8968
74,74_trigger,,23,0.07641220279121032,96.76628010704728,8678,8968
global,combine,,23,7.052571730566918,0.6021409455842998,54,8968
